year,aun,county,district,grade,math,reading
2005,113384603,Lebanon,LEBANON SD,11,17.4,14.8
2005,113385003,Lebanon,NORTHERN LEBANON SD,3,43,35
2005,113385003,Lebanon,NORTHERN LEBANON SD,5,16.5,14.3
2005,113385003,Lebanon,NORTHERN LEBANON SD,8,26.9,27.3
2005,113385003,Lebanon,NORTHERN LEBANON SD,11,17.5,28
2005,113385303,Lebanon,PALMYRA AREA SD,3,40,28
2005,113385303,Lebanon,PALMYRA AREA SD,5,33.8,21.7
2005,113385303,Lebanon,PALMYRA AREA SD,8,47.2,44.5
2005,113385303,Lebanon,PALMYRA AREA SD,11,25.8,40.3
2005,121390302,Lehigh,ALLENTOWN CITY SD,3,36,13
2005,121390302,Lehigh,ALLENTOWN CITY SD,5,32.3,9.5
2005,121390302,Lehigh,ALLENTOWN CITY SD,8,19.1,13.5
2005,121390302,Lehigh,ALLENTOWN CITY SD,11,7.2,14.6
2005,121391303,Lehigh,CATASAUQUA AREA SD,3,58,37
2005,121391303,Lehigh,CATASAUQUA AREA SD,5,20,12.6
2005,121391303,Lehigh,CATASAUQUA AREA SD,8,38.3,36.2
2005,121391303,Lehigh,CATASAUQUA AREA SD,11,22.7,32.7
2005,121392303,Lehigh,EAST PENN SD,3,70,47
2005,121392303,Lehigh,EAST PENN SD,5,52.4,41
2005,121392303,Lehigh,EAST PENN SD,8,49.7,48.6
2005,121392303,Lehigh,EAST PENN SD,11,35.8,44.2
2005,121394503,Lehigh,NORTHERN LEHIGH SD,3,50,35
2005,121394503,Lehigh,NORTHERN LEHIGH SD,5,36.9,25.5
2005,121394503,Lehigh,NORTHERN LEHIGH SD,8,26,32.5
2005,121394503,Lehigh,NORTHERN LEHIGH SD,11,12.3,27.9
2005,121394603,Lehigh,NORTHWESTERN LEHIGH SD,3,68,38
2005,121394603,Lehigh,NORTHWESTERN LEHIGH SD,5,47.3,31.4
2005,121394603,Lehigh,NORTHWESTERN LEHIGH SD,8,56.3,46.7
2005,121394603,Lehigh,NORTHWESTERN LEHIGH SD,11,21.7,36.7
2005,121395103,Lehigh,PARKLAND SD,3,62,41
2005,121395103,Lehigh,PARKLAND SD,5,52.7,34.9
2005,121395103,Lehigh,PARKLAND SD,8,60.3,56
2005,121395103,Lehigh,PARKLAND SD,11,38.6,50.5
2005,121395603,Lehigh,SALISBURY TOWNSHIP SD,3,64,44
2005,121395603,Lehigh,SALISBURY TOWNSHIP SD,5,43.1,34.1
2005,121395603,Lehigh,SALISBURY TOWNSHIP SD,8,52.8,55.8
2005,121395603,Lehigh,SALISBURY TOWNSHIP SD,11,29.4,43.8
2005,121395703,Lehigh,SOUTHERN LEHIGH SD,3,69,53
2005,121395703,Lehigh,SOUTHERN LEHIGH SD,5,70,44.7
2005,121395703,Lehigh,SOUTHERN LEHIGH SD,8,38.3,37.1
2005,121395703,Lehigh,SOUTHERN LEHIGH SD,11,40.5,46.4
2005,121397803,Lehigh,WHITEHALL-COPLAY SD,3,59,33
2005,121397803,Lehigh,WHITEHALL-COPLAY SD,5,38.3,29.1
2005,121397803,Lehigh,WHITEHALL-COPLAY SD,8,33.3,28.3
2005,121397803,Lehigh,WHITEHALL-COPLAY SD,11,31.6,35.1
2005,118401403,Luzerne,CRESTWOOD SD,3,74,46
2005,118401403,Luzerne,CRESTWOOD SD,5,63.6,37.7
2005,118401403,Luzerne,CRESTWOOD SD,8,46.8,46.4
2005,118401403,Luzerne,CRESTWOOD SD,11,33.6,52.3
2005,118401603,Luzerne,DALLAS SD,3,68,47
2005,118401603,Luzerne,DALLAS SD,5,50.2,27.1
2005,118401603,Luzerne,DALLAS SD,8,42.8,47.7
2005,118401603,Luzerne,DALLAS SD,11,25.6,44.4
2005,118402603,Luzerne,GREATER NANTICOKE AREA,3,57,25
2005,118402603,Luzerne,GREATER NANTICOKE AREA,5,27,14.9
2005,118402603,Luzerne,GREATER NANTICOKE AREA,8,42.9,33.3
2005,118402603,Luzerne,GREATER NANTICOKE AREA,11,20.2,24.2
2005,118403003,Luzerne,HANOVER AREA SD,3,43,22
2005,118403003,Luzerne,HANOVER AREA SD,5,32.4,25.4
2005,118403003,Luzerne,HANOVER AREA SD,8,37.2,40.4
2005,118403003,Luzerne,HANOVER AREA SD,11,16.1,24.3
2005,118403302,Luzerne,HAZLETON AREA SD,3,41,25
2005,118403302,Luzerne,HAZLETON AREA SD,5,40.9,22.5
2005,118403302,Luzerne,HAZLETON AREA SD,8,33.9,29.5
2005,118403302,Luzerne,HAZLETON AREA SD,11,17.8,21.8
2005,118403903,Luzerne,LAKE-LEHMAN SD,3,55,42
2005,118403903,Luzerne,LAKE-LEHMAN SD,5,29.8,25.6
2005,118403903,Luzerne,LAKE-LEHMAN SD,8,12.1,22
2005,118403903,Luzerne,LAKE-LEHMAN SD,11,13.3,24.2
2005,118406003,Luzerne,NORTHWEST AREA SD,3,52,42
2005,118406003,Luzerne,NORTHWEST AREA SD,5,21.7,17.8
2005,118406003,Luzerne,NORTHWEST AREA SD,8,38.3,47.8
2005,118406003,Luzerne,NORTHWEST AREA SD,11,21.3,41.6
2005,118406602,Luzerne,PITTSTON AREA SD,3,66,32
2005,118406602,Luzerne,PITTSTON AREA SD,5,39,17.1
2005,118406602,Luzerne,PITTSTON AREA SD,8,37.6,31.5
2005,118406602,Luzerne,PITTSTON AREA SD,11,16.9,22.9
2005,118408852,Luzerne,WILKES-BARRE AREA SD,3,60,31
2005,118408852,Luzerne,WILKES-BARRE AREA SD,5,48.1,25.5
2005,118408852,Luzerne,WILKES-BARRE AREA SD,8,30.5,36
2005,118408852,Luzerne,WILKES-BARRE AREA SD,11,38.5,43.2
2005,118409203,Luzerne,WYOMING AREA SD,3,65,42
2005,118409203,Luzerne,WYOMING AREA SD,5,63.6,46
2005,118409203,Luzerne,WYOMING AREA SD,8,59,54.5
2005,118409203,Luzerne,WYOMING AREA SD,11,30.7,47.5
2005,118409302,Luzerne,WYOMING VALLEY WEST SD,3,62,35
2005,118409302,Luzerne,WYOMING VALLEY WEST SD,5,40.8,22.6
2005,118409302,Luzerne,WYOMING VALLEY WEST SD,8,27,24.7
2005,118409302,Luzerne,WYOMING VALLEY WEST SD,11,21.8,34
2005,117412003,Lycoming,EAST LYCOMING SD,3,75,48
2005,117412003,Lycoming,EAST LYCOMING SD,5,59.2,28.5
2005,117412003,Lycoming,EAST LYCOMING SD,8,49.6,32
2005,117412003,Lycoming,EAST LYCOMING SD,11,27.5,50.7
2005,117414003,Lycoming,JERSEY SHORE AREA SD,3,47,26
2005,117414003,Lycoming,JERSEY SHORE AREA SD,5,39.6,18.1
2005,117414003,Lycoming,JERSEY SHORE AREA SD,8,22,34.9
2005,117414003,Lycoming,JERSEY SHORE AREA SD,11,28.8,29.3
2005,117414203,Lycoming,LOYALSOCK TOWNSHIP SD,3,47,32
2005,117414203,Lycoming,LOYALSOCK TOWNSHIP SD,5,48.5,27.8
2005,117414203,Lycoming,LOYALSOCK TOWNSHIP SD,8,50.4,46.3
2005,117414203,Lycoming,LOYALSOCK TOWNSHIP SD,11,39.1,47
2005,117415004,Lycoming,MONTGOMERY AREA SD,3,73,45
2005,117415004,Lycoming,MONTGOMERY AREA SD,5,73.4,21.9
2005,117415004,Lycoming,MONTGOMERY AREA SD,8,59.8,41.5
2005,117415004,Lycoming,MONTGOMERY AREA SD,11,42.3,40.8
2005,117415103,Lycoming,MONTOURSVILLE AREA SD,3,68,39
2005,117415103,Lycoming,MONTOURSVILLE AREA SD,5,36.6,19.4
2005,117415103,Lycoming,MONTOURSVILLE AREA SD,8,41.7,35.9
2005,117415103,Lycoming,MONTOURSVILLE AREA SD,11,30.8,52.4
2005,117415303,Lycoming,MUNCY SD,3,62,29
2005,117415303,Lycoming,MUNCY SD,5,57.1,27
2005,117415303,Lycoming,MUNCY SD,8,41.9,37.6
2005,117415303,Lycoming,MUNCY SD,11,28.9,51.3
2005,117416103,Lycoming,SOUTH WILLIAMSPORT AREA,3,65,33
2005,117416103,Lycoming,SOUTH WILLIAMSPORT AREA,5,49.5,16.5
2005,117416103,Lycoming,SOUTH WILLIAMSPORT AREA,8,39.8,35.9
2005,117416103,Lycoming,SOUTH WILLIAMSPORT AREA,11,34.5,49.6
2005,117417202,Lycoming,WILLIAMSPORT AREA SD,3,36,24
2005,117417202,Lycoming,WILLIAMSPORT AREA SD,5,37.4,17.6
2005,117417202,Lycoming,WILLIAMSPORT AREA SD,8,27.4,24.7
2005,117417202,Lycoming,WILLIAMSPORT AREA SD,11,21.8,25.4
2005,109420803,Mckean,BRADFORD AREA SD,3,47,29
2005,109420803,Mckean,BRADFORD AREA SD,5,28.8,13.7
2005,109420803,Mckean,BRADFORD AREA SD,8,34,31.3
2005,109420803,Mckean,BRADFORD AREA SD,11,24.1,22.5
2005,109422303,Mckean,KANE AREA SD,3,36,24
2005,109422303,Mckean,KANE AREA SD,5,35.6,20
2005,109422303,Mckean,KANE AREA SD,8,37.1,34.5
2005,109422303,Mckean,KANE AREA SD,11,17,26.1
2005,109426003,Mckean,OTTO-ELDRED SD,3,34,23
2005,109426003,Mckean,OTTO-ELDRED SD,5,35.6,35.6
2005,109426003,Mckean,OTTO-ELDRED SD,8,24.1,13.9
2005,109426003,Mckean,OTTO-ELDRED SD,11,25.4,23.7
2005,109426303,Mckean,PORT ALLEGANY SD,3,45,19
2005,109426303,Mckean,PORT ALLEGANY SD,5,37.9,9.4
2005,109426303,Mckean,PORT ALLEGANY SD,8,36,24
2005,109426303,Mckean,PORT ALLEGANY SD,11,12.8,22.3
2005,109427503,Mckean,SMETHPORT AREA SD,3,23,23
2005,109427503,Mckean,SMETHPORT AREA SD,5,31.7,33.3
2005,109427503,Mckean,SMETHPORT AREA SD,8,23.6,18
2005,109427503,Mckean,SMETHPORT AREA SD,11,28.2,32.4
2005,104431304,Mercer,COMMODORE PERRY SD,3,47,26
2005,104431304,Mercer,COMMODORE PERRY SD,5,43.6,33.3
2005,104431304,Mercer,COMMODORE PERRY SD,8,18,14
2005,104431304,Mercer,COMMODORE PERRY SD,11,29.6,37
2005,104432503,Mercer,FARRELL AREA SD,3,17,5
2005,104432503,Mercer,FARRELL AREA SD,5,21.8,3.8
2005,104432503,Mercer,FARRELL AREA SD,8,4.7,15.3
2005,104432503,Mercer,FARRELL AREA SD,11,2,3.9
2005,104432803,Mercer,GREENVILLE AREA SD,3,54,34
2005,104432803,Mercer,GREENVILLE AREA SD,5,46.4,22.4
2005,104432803,Mercer,GREENVILLE AREA SD,8,44.2,30.7
2005,104432803,Mercer,GREENVILLE AREA SD,11,28.5,29
2005,104432903,Mercer,GROVE CITY AREA SD,3,64,43
2005,104432903,Mercer,GROVE CITY AREA SD,5,51.2,31
2005,104432903,Mercer,GROVE CITY AREA SD,8,59.8,42.5
2005,104432903,Mercer,GROVE CITY AREA SD,11,39.9,51.1
2005,104433303,Mercer,HERMITAGE SD,3,61,28
2005,104433303,Mercer,HERMITAGE SD,5,35.2,22.4
2005,104433303,Mercer,HERMITAGE SD,8,40.9,33.2
2005,104433303,Mercer,HERMITAGE SD,11,30.2,32.8
2005,104433604,Mercer,JAMESTOWN AREA SD,3,59,35
2005,104433604,Mercer,JAMESTOWN AREA SD,5,39.5,20.9
2005,104433604,Mercer,JAMESTOWN AREA SD,8,49.1,34.5
2005,104433604,Mercer,JAMESTOWN AREA SD,11,31.4,30
2005,104433903,Mercer,LAKEVIEW SD,3,36,31
2005,104433903,Mercer,LAKEVIEW SD,5,15.5,18.6
2005,104433903,Mercer,LAKEVIEW SD,8,45.9,42.2
2005,104433903,Mercer,LAKEVIEW SD,11,29.1,40.7
2005,104435003,Mercer,MERCER AREA SD,3,58,36
2005,104435003,Mercer,MERCER AREA SD,5,42.5,26.5
2005,104435003,Mercer,MERCER AREA SD,8,40.2,37.2
2005,104435003,Mercer,MERCER AREA SD,11,25.7,45.7
2005,104435303,Mercer,REYNOLDS SD,3,52,35
2005,104435303,Mercer,REYNOLDS SD,5,40.4,24.8
2005,104435303,Mercer,REYNOLDS SD,8,24.4,25.2
2005,104435303,Mercer,REYNOLDS SD,11,20.8,38.4
2005,104435603,Mercer,SHARON CITY SD,3,37,17
2005,104435603,Mercer,SHARON CITY SD,5,40.8,20.6
2005,104435603,Mercer,SHARON CITY SD,8,20.1,13.2
2005,104435603,Mercer,SHARON CITY SD,11,27.4,30.4
2005,104435703,Mercer,SHARPSVILLE AREA SD,3,59,25
2005,104435703,Mercer,SHARPSVILLE AREA SD,5,30.9,18.8
2005,104435703,Mercer,SHARPSVILLE AREA SD,8,27.5,32.1
2005,104435703,Mercer,SHARPSVILLE AREA SD,11,14.3,40.7
2005,104437503,Mercer,WEST MIDDLESEX AREA SD,3,52,27
2005,104437503,Mercer,WEST MIDDLESEX AREA SD,5,33.8,16.2
2005,104437503,Mercer,WEST MIDDLESEX AREA SD,8,29.3,33.9
2005,104437503,Mercer,WEST MIDDLESEX AREA SD,11,19.5,43.7
2005,111444602,Mifflin,MIFFLIN COUNTY SD,3,41,22
2005,111444602,Mifflin,MIFFLIN COUNTY SD,5,23.8,15.3
2005,111444602,Mifflin,MIFFLIN COUNTY SD,8,37.9,30.5
2005,111444602,Mifflin,MIFFLIN COUNTY SD,11,25.9,34
2005,120452003,Monroe,EAST STROUDSBURG AREA S,3,49,27
2005,120452003,Monroe,EAST STROUDSBURG AREA S,5,40.4,29.2
2005,120452003,Monroe,EAST STROUDSBURG AREA S,8,21.4,35.3
2005,120452003,Monroe,EAST STROUDSBURG AREA S,11,17.6,32.9
2005,120455203,Monroe,PLEASANT VALLEY SD,3,48,31
2005,120455203,Monroe,PLEASANT VALLEY SD,5,16,16.3
2005,120455203,Monroe,PLEASANT VALLEY SD,8,26.3,28.1
2005,120455203,Monroe,PLEASANT VALLEY SD,11,19.7,21.5
2005,120455403,Monroe,POCONO MOUNTAIN SD,3,56,33
2005,120455403,Monroe,POCONO MOUNTAIN SD,5,40.8,18.2
2005,120455403,Monroe,POCONO MOUNTAIN SD,8,28.4,29.6
2005,120455403,Monroe,POCONO MOUNTAIN SD,11,15.8,26.1
2005,120456003,Monroe,STROUDSBURG AREA SD,3,43,27
2005,120456003,Monroe,STROUDSBURG AREA SD,5,44.4,26.5
2005,120456003,Monroe,STROUDSBURG AREA SD,8,28,35.6
2005,120456003,Monroe,STROUDSBURG AREA SD,11,24.2,41.1
2005,123460302,Montgomery,ABINGTON SD,3,62,45
2005,123460302,Montgomery,ABINGTON SD,5,66.1,32.8
2005,123460302,Montgomery,ABINGTON SD,8,58.5,41.5
2005,123460302,Montgomery,ABINGTON SD,11,51.3,57.5
2005,123461302,Montgomery,CHELTENHAM TOWNSHIP SD,3,61,49
2005,123461302,Montgomery,CHELTENHAM TOWNSHIP SD,5,44.9,35.7
2005,123461302,Montgomery,CHELTENHAM TOWNSHIP SD,8,47,42.9
2005,123461302,Montgomery,CHELTENHAM TOWNSHIP SD,11,40,40.1
2005,123461602,Montgomery,COLONIAL SD,3,71,59
2005,123461602,Montgomery,COLONIAL SD,5,58.8,40.6
2005,123461602,Montgomery,COLONIAL SD,8,49.4,45.9
2005,123461602,Montgomery,COLONIAL SD,11,32.6,32.8
2005,123463603,Montgomery,HATBORO-HORSHAM SD,3,68,48
2005,123463603,Montgomery,HATBORO-HORSHAM SD,5,56.4,40.7
2005,123463603,Montgomery,HATBORO-HORSHAM SD,8,73.7,64.2
2005,123463603,Montgomery,HATBORO-HORSHAM SD,11,38.1,36.7
2005,123463803,Montgomery,JENKINTOWN SD,3,54,35
2005,123463803,Montgomery,JENKINTOWN SD,5,73.9,42.6
2005,123463803,Montgomery,JENKINTOWN SD,8,62.5,68.1
2005,123463803,Montgomery,JENKINTOWN SD,11,40,55.6
2005,123464502,Montgomery,LOWER MERION SD,3,72,60
2005,123464502,Montgomery,LOWER MERION SD,5,61.5,49.4
2005,123464502,Montgomery,LOWER MERION SD,8,63.5,55.6
2005,123464502,Montgomery,LOWER MERION SD,11,53.6,61.2
2005,123464603,Montgomery,LOWER MORELAND TOWNSHIP,3,75,65
2005,123464603,Montgomery,LOWER MORELAND TOWNSHIP,5,74.3,44.9
2005,123464603,Montgomery,LOWER MORELAND TOWNSHIP,8,57.4,55.5
2005,123464603,Montgomery,LOWER MORELAND TOWNSHIP,11,59.5,61.8
2005,123465303,Montgomery,METHACTON SD,3,84,53
2005,123465303,Montgomery,METHACTON SD,5,60.2,41
2005,123465303,Montgomery,METHACTON SD,8,58.6,47.4
2005,123465303,Montgomery,METHACTON SD,11,52.9,46.4
2005,123465602,Montgomery,NORRISTOWN SD,3,29,16
2005,123465602,Montgomery,NORRISTOWN SD,5,27.9,13.3
2005,123465602,Montgomery,NORRISTOWN SD,8,27,19.7
2005,123465602,Montgomery,NORRISTOWN SD,11,15.8,24.3
2005,123465702,Montgomery,NORTH PENN SD,3,62,43
2005,123465702,Montgomery,NORTH PENN SD,5,62.9,35.2
2005,123465702,Montgomery,NORTH PENN SD,8,54.9,47.8
2005,123465702,Montgomery,NORTH PENN SD,11,38.1,49.9
2005,123466103,Montgomery,PERKIOMEN VALLEY SD,3,68,49
2005,123466103,Montgomery,PERKIOMEN VALLEY SD,5,58.3,35.7
2005,123466103,Montgomery,PERKIOMEN VALLEY SD,8,55.4,52
2005,123466103,Montgomery,PERKIOMEN VALLEY SD,11,35.1,43.4
2005,123466303,Montgomery,POTTSGROVE SD,3,50,25
2005,123466303,Montgomery,POTTSGROVE SD,5,34.1,25.2
2005,123466303,Montgomery,POTTSGROVE SD,8,43.3,43.1
2005,123466303,Montgomery,POTTSGROVE SD,11,25.7,31
2005,123466403,Montgomery,POTTSTOWN SD,3,38,18
2005,123466403,Montgomery,POTTSTOWN SD,5,25.2,12.8
2005,123466403,Montgomery,POTTSTOWN SD,8,20.5,22.4
2005,123466403,Montgomery,POTTSTOWN SD,11,13.5,17
2005,123467103,Montgomery,SOUDERTON AREA SD,3,62,43
2005,123467103,Montgomery,SOUDERTON AREA SD,5,64.7,34.1
2005,123467103,Montgomery,SOUDERTON AREA SD,8,46.3,43.7
2005,123467103,Montgomery,SOUDERTON AREA SD,11,35.7,44
2005,123467203,Montgomery,SPRINGFIELD TOWNSHIP SD,3,72,49
2005,123467203,Montgomery,SPRINGFIELD TOWNSHIP SD,5,58,27.6
2005,123467203,Montgomery,SPRINGFIELD TOWNSHIP SD,8,50,45.8
2005,123467203,Montgomery,SPRINGFIELD TOWNSHIP SD,11,44.3,44.8
2005,123467303,Montgomery,SPRING-FORD AREA SD,3,69,48
2005,123467303,Montgomery,SPRING-FORD AREA SD,5,54.9,26.2
2005,123467303,Montgomery,SPRING-FORD AREA SD,8,52.5,38.8
2005,123467303,Montgomery,SPRING-FORD AREA SD,11,39,41.7
2005,123468303,Montgomery,UPPER DUBLIN SD,3,66,50
2005,123468303,Montgomery,UPPER DUBLIN SD,5,70.6,41.9
2005,123468303,Montgomery,UPPER DUBLIN SD,8,63,66.1
2005,123468303,Montgomery,UPPER DUBLIN SD,11,59.1,56
2005,123468402,Montgomery,UPPER MERION AREA SD,3,62,43
2005,123468402,Montgomery,UPPER MERION AREA SD,5,40.9,24.5
2005,123468402,Montgomery,UPPER MERION AREA SD,8,54,46.9
2005,123468402,Montgomery,UPPER MERION AREA SD,11,37.2,42.9
2005,123468503,Montgomery,UPPER MORELAND TOWNSHIP,3,57,48
2005,123468503,Montgomery,UPPER MORELAND TOWNSHIP,5,47,31.3
2005,123468503,Montgomery,UPPER MORELAND TOWNSHIP,8,48.8,51.2
2005,123468503,Montgomery,UPPER MORELAND TOWNSHIP,11,32.9,46.2
2005,123468603,Montgomery,UPPER PERKIOMEN SD,3,64,41
2005,123468603,Montgomery,UPPER PERKIOMEN SD,5,27.7,21.3
2005,123468603,Montgomery,UPPER PERKIOMEN SD,8,39.9,33.7
2005,123468603,Montgomery,UPPER PERKIOMEN SD,11,48,41.4
2005,123469303,Montgomery,WISSAHICKON SD,3,62,50
2005,123469303,Montgomery,WISSAHICKON SD,5,45.1,31.4
2005,123469303,Montgomery,WISSAHICKON SD,8,51.4,52.8
2005,123469303,Montgomery,WISSAHICKON SD,11,41.6,46.9
2005,116471803,Montour,DANVILLE AREA SD,3,56,39
2005,116471803,Montour,DANVILLE AREA SD,5,34.3,29.4
2005,116471803,Montour,DANVILLE AREA SD,8,40.9,43
2005,116471803,Montour,DANVILLE AREA SD,11,35.8,58
2005,120480803,Northampton,BANGOR AREA SD,3,53,32
2005,120480803,Northampton,BANGOR AREA SD,5,32.7,25.7
2005,120480803,Northampton,BANGOR AREA SD,8,34.2,31.7
2005,120480803,Northampton,BANGOR AREA SD,11,18.9,28.7
2005,120481002,Northampton,BETHLEHEM AREA SD,3,45,30
2005,120481002,Northampton,BETHLEHEM AREA SD,5,39.1,24.6
2005,120481002,Northampton,BETHLEHEM AREA SD,8,42.8,37.9
2005,120481002,Northampton,BETHLEHEM AREA SD,11,20.6,29.3
2005,120483302,Northampton,EASTON AREA SD,3,54,23
2005,120483302,Northampton,EASTON AREA SD,5,25.9,15.4
2005,120483302,Northampton,EASTON AREA SD,8,24.8,29.1
2005,120483302,Northampton,EASTON AREA SD,11,22,28.5
2005,120484803,Northampton,NAZARETH AREA SD,3,66,40
2005,120484803,Northampton,NAZARETH AREA SD,5,47.8,33
2005,120484803,Northampton,NAZARETH AREA SD,8,38.6,40.1
2005,120484803,Northampton,NAZARETH AREA SD,11,27.3,39.7
2005,120484903,Northampton,NORTHAMPTON AREA SD,3,54,33
2005,120484903,Northampton,NORTHAMPTON AREA SD,5,31.4,29.4
2005,120484903,Northampton,NORTHAMPTON AREA SD,8,45.6,32.5
2005,120484903,Northampton,NORTHAMPTON AREA SD,11,21.6,24.3
2005,120485603,Northampton,PEN ARGYL AREA SD,3,50,32
2005,120485603,Northampton,PEN ARGYL AREA SD,5,32,22.5
2005,120485603,Northampton,PEN ARGYL AREA SD,8,40.5,37.5
2005,120485603,Northampton,PEN ARGYL AREA SD,11,23.6,35
2005,120486003,Northampton,SAUCON VALLEY SD,3,70,40
2005,120486003,Northampton,SAUCON VALLEY SD,5,57,34.7
2005,120486003,Northampton,SAUCON VALLEY SD,8,45.6,40.2
2005,120486003,Northampton,SAUCON VALLEY SD,11,29.3,43.6
2005,120488603,Northampton,WILSON AREA SD,3,50,26
2005,120488603,Northampton,WILSON AREA SD,5,51.2,28.7
2005,120488603,Northampton,WILSON AREA SD,8,24.2,28.4
2005,120488603,Northampton,WILSON AREA SD,11,18.2,31.2
2005,116493503,Northumberland,LINE MOUNTAIN SD,3,33,22
2005,116493503,Northumberland,LINE MOUNTAIN SD,5,33.9,26.6
2005,116493503,Northumberland,LINE MOUNTAIN SD,8,21.2,26.3
2005,116493503,Northumberland,LINE MOUNTAIN SD,11,11,36.6
2005,116495003,Northumberland,MILTON AREA SD,3,53,27
2005,116495003,Northumberland,MILTON AREA SD,5,34.8,24.1
2005,116495003,Northumberland,MILTON AREA SD,8,38,32.6
2005,116495003,Northumberland,MILTON AREA SD,11,25.6,24.4
2005,116495103,Northumberland,MOUNT CARMEL AREA SD,3,62,39
2005,116495103,Northumberland,MOUNT CARMEL AREA SD,5,41.8,22.7
2005,116495103,Northumberland,MOUNT CARMEL AREA SD,8,28.7,33.3
2005,116495103,Northumberland,MOUNT CARMEL AREA SD,11,17.1,35.2
2005,116496503,Northumberland,SHAMOKIN AREA SD,3,55,35
2005,116496503,Northumberland,SHAMOKIN AREA SD,5,27.6,18.9
2005,116496503,Northumberland,SHAMOKIN AREA SD,8,21.4,21.9
2005,116496503,Northumberland,SHAMOKIN AREA SD,11,15,25.1
2005,116496603,Northumberland,SHIKELLAMY SD,3,38,28
2005,116496603,Northumberland,SHIKELLAMY SD,5,27.8,14.8
2005,116496603,Northumberland,SHIKELLAMY SD,8,17.7,19.4
2005,116496603,Northumberland,SHIKELLAMY SD,11,16.9,26.3
2005,116498003,Northumberland,WARRIOR RUN SD,3,63,33
2005,116498003,Northumberland,WARRIOR RUN SD,5,33.1,15
2005,116498003,Northumberland,WARRIOR RUN SD,8,20.3,31.6
2005,116498003,Northumberland,WARRIOR RUN SD,11,20.7,37
2005,115503004,Perry,GREENWOOD SD,3,51,24
2005,115503004,Perry,GREENWOOD SD,5,42.4,28.3
2005,115503004,Perry,GREENWOOD SD,8,29.4,25
2005,115503004,Perry,GREENWOOD SD,11,35.2,46.3
2005,115504003,Perry,NEWPORT SD,3,41,26
2005,115504003,Perry,NEWPORT SD,5,26.3,10.5
2005,115504003,Perry,NEWPORT SD,8,31.8,39.1
2005,115504003,Perry,NEWPORT SD,11,17.8,29.7
2005,115506003,Perry,SUSQUENITA SD,3,49,29
2005,115506003,Perry,SUSQUENITA SD,5,19.5,13.8
2005,115506003,Perry,SUSQUENITA SD,8,29.4,31.4
2005,115506003,Perry,SUSQUENITA SD,11,24.1,32
2005,115508003,Perry,WEST PERRY SD,3,52,27
2005,115508003,Perry,WEST PERRY SD,5,32.8,18.5
2005,115508003,Perry,WEST PERRY SD,8,31.8,24.9
2005,115508003,Perry,WEST PERRY SD,11,21.7,29.9
2005,126515001,Philadelphia,PHILADELPHIA CITY SD,3,20,10
2005,126515001,Philadelphia,PHILADELPHIA CITY SD,5,20.1,8.2
2005,126515001,Philadelphia,PHILADELPHIA CITY SD,8,18.4,14.8
2005,126515001,Philadelphia,PHILADELPHIA CITY SD,11,9.8,10.4
2005,120522003,Pike,DELAWARE VALLEY SD,3,50,34
2005,120522003,Pike,DELAWARE VALLEY SD,5,40.3,30.5
2005,120522003,Pike,DELAWARE VALLEY SD,8,41.2,52
2005,120522003,Pike,DELAWARE VALLEY SD,11,25.9,44.8
2005,109530304,Potter,AUSTIN AREA SD,3,11,11
2005,109530304,Potter,AUSTIN AREA SD,5,14.3,28.6
2005,109530304,Potter,AUSTIN AREA SD,8,32,36
2005,109530304,Potter,AUSTIN AREA SD,11,14.3,21.4
2005,109531304,Potter,COUDERSPORT AREA SD,3,57,30
2005,109531304,Potter,COUDERSPORT AREA SD,5,37.5,23.6
2005,109531304,Potter,COUDERSPORT AREA SD,8,41.8,21.5
2005,109531304,Potter,COUDERSPORT AREA SD,11,20.3,36.2
2005,109532804,Potter,GALETON AREA SD,3,26,19
2005,109532804,Potter,GALETON AREA SD,5,19.2,7.7
2005,109532804,Potter,GALETON AREA SD,8,23.3,23.3
2005,109532804,Potter,GALETON AREA SD,11,2.6,25.6
2005,109535504,Potter,NORTHERN POTTER SD,3,69,47
2005,109535504,Potter,NORTHERN POTTER SD,5,38.9,11.1
2005,109535504,Potter,NORTHERN POTTER SD,8,19.6,15.7
2005,109535504,Potter,NORTHERN POTTER SD,11,16.4,20
2005,109537504,Potter,OSWAYO VALLEY SD,3,23,11
2005,109537504,Potter,OSWAYO VALLEY SD,5,10,7.5
2005,109537504,Potter,OSWAYO VALLEY SD,8,23.5,29.4
2005,109537504,Potter,OSWAYO VALLEY SD,11,28.6,36.7
2005,129540803,Schuylkill,BLUE MOUNTAIN SD,3,67,42
2005,129540803,Schuylkill,BLUE MOUNTAIN SD,5,47.7,34.7
2005,129540803,Schuylkill,BLUE MOUNTAIN SD,8,50.8,51.6
2005,129540803,Schuylkill,BLUE MOUNTAIN SD,11,39.1,50
2005,129544503,Schuylkill,MAHANOY AREA SD,3,51,29
2005,129544503,Schuylkill,MAHANOY AREA SD,5,46.7,25.3
2005,129544503,Schuylkill,MAHANOY AREA SD,8,25.2,22.3
2005,129544503,Schuylkill,MAHANOY AREA SD,11,17.6,17.6
2005,129544703,Schuylkill,MINERSVILLE AREA SD,3,81,47
2005,129544703,Schuylkill,MINERSVILLE AREA SD,5,48.7,22.4
2005,129544703,Schuylkill,MINERSVILLE AREA SD,8,31.5,24.2
